iter	Passed	Remaining
814	1051	238
815	1052	237
816	1053	235
817	1054	234
818	1055	233
819	1056	231
820	1057	230
821	1058	229
822	1059	227
823	1060	226
824	1060	225
825	1061	223
826	1062	222
827	1063	220
828	1063	219
829	1064	218
830	1065	216
831	1066	215
832	1067	214
833	1068	212
834	1070	211
835	1071	210
836	1072	208
837	1072	207
838	1073	206
839	1074	204
840	1075	203
841	1076	201
842	1077	200
843	1077	199
844	1078	197
845	1079	196
846	1080	195
847	1080	193
848	1082	192
849	1082	191
850	1083	189
851	1085	188
852	1086	187
853	1087	185
854	1088	184
855	1089	183
856	1089	181
857	1090	180
858	1091	179
859	1092	177
860	1093	176
861	1094	175
862	1095	173
863	1096	172
864	1097	171
865	1098	169
866	1099	168
867	1100	167
868	1102	166
869	1103	164
870	1103	163
871	1104	162
872	1105	160
873	1106	159
874	1106	158
875	1107	156
876	1108	155
877	1109	154
878	1110	152
879	1110	151
880	1111	150
881	1112	148
882	1113	147
883	1115	146
884	1116	145
885	1117	143
886	1118	142
887	1119	141
888	1120	139
889	1120	138
890	1121	137
891	1122	135
892	1123	134
893	1124	133
894	1124	131
895	1125	130
896	1126	129
897	1127	128
898	1129	126
899	1130	125
900	1131	124
901	1132	122
902	1132	121
903	1133	120
904	1134	119
905	1135	117
906	1136	116
907	1137	115
908	1138	113
909	1139	112
910	1139	111
911	1140	110
912	1141	108
913	1142	107
914	1144	106
915	1145	105
916	1146	103
917	1147	102
918	1148	101
919	1148	99
920	1149	98
921	1150	97
922	1151	96
923	1152	94
924	1152	93
925	1153	92
926	1154	90
927	1155	89
928	1156	88
929	1157	87
930	1158	85
931	1159	84
932	1160	83
933	1161	82
934	1162	80
935	1162	79
936	1163	78
937	1164	76
938	1165	75
939	1166	74
940	1167	73
941	1168	71
942	1169	70
943	1170	69
944	1170	68
945	1171	66
946	1173	65
947	1174	64
948	1175	63
949	1176	61
950	1176	60
951	1177	59
952	1178	58
953	1179	56
954	1180	55
955	1181	54
956	1182	53
957	1183	51
958	1184	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1190	44
964	1191	43
965	1191	41
966	1192	40
967	1193	39
968	1194	38
969	1195	36
970	1195	35
971	1197	34
972	1198	33
973	1199	32
974	1200	30
975	1202	29
976	1203	28
977	1204	27
978	1205	25
979	1206	24
980	1207	23
981	1208	22
982	1209	20
983	1210	19
984	1211	18
985	1211	17
986	1212	15
987	1213	14
988	1214	13
989	1215	12
990	1216	11
991	1217	9
992	1218	8
993	1219	7
994	1220	6
995	1221	4
996	1222	3
997	1222	2
998	1223	1
999	1224	0
